yearID,teamID,avg_age,lgID,franchID,G,R,W,L,runs_per_game,win_pct
2004,TBA,28.8062015503876,AL,TBD,161,714,70,91,4.434782608695652,0.43478260869565216
2004,TEX,28.171185624899728,AL,TEX,162,860,89,73,5.308641975308642,0.5493827160493827
2004,TOR,28.45817768393698,AL,TOR,161,719,67,94,4.46583850931677,0.4161490683229814
2005,ARI,31.147858056265985,NL,ARI,162,696,77,85,4.296296296296297,0.47530864197530864
2005,ATL,27.579442449119206,NL,ATL,162,769,90,72,4.746913580246914,0.5555555555555556
2005,BAL,32.12389235313423,AL,BAL,162,729,74,88,4.5,0.4567901234567901
2005,BOS,31.93958365941462,AL,BOS,162,910,95,67,5.617283950617284,0.5864197530864198
2005,CHA,29.66300065659882,AL,CHW,162,741,99,63,4.574074074074074,0.6111111111111112
2005,CHN,30.28111658456486,NL,CHC,162,703,79,83,4.339506172839506,0.4876543209876543
2005,CIN,29.062450215070893,NL,CIN,163,820,73,89,5.030674846625767,0.4506172839506173
2005,CLE,28.032175032175033,AL,CLE,162,790,93,69,4.8765432098765435,0.5740740740740741
2005,COL,27.712636201008294,NL,COL,162,740,67,95,4.567901234567901,0.41358024691358025
2005,DET,29.00870136266623,AL,DET,162,723,71,91,4.462962962962963,0.4382716049382716
2005,FLO,29.83624204860545,NL,FLA,162,717,83,79,4.425925925925926,0.5123456790123457
2005,HOU,30.773485223708107,NL,HOU,163,693,89,73,4.251533742331288,0.5493827160493827
2005,KCA,28.66655629139073,AL,KCR,162,701,56,106,4.327160493827161,0.345679012345679
2005,LAA,30.198892327740673,AL,ANA,162,761,95,67,4.697530864197531,0.5864197530864198
2005,LAN,29.110470859400724,NL,LAD,162,685,71,91,4.228395061728395,0.4382716049382716
2005,MIL,28.995894909688012,NL,MIL,162,726,81,81,4.481481481481482,0.5
2005,MIN,27.97739837398374,AL,MIN,162,688,83,79,4.246913580246914,0.5123456790123457
2005,NYA,32.92175003920339,AL,NYY,162,886,95,67,5.469135802469136,0.5864197530864198
2005,NYN,28.972190225440183,NL,NYM,162,722,83,79,4.45679012345679,0.5123456790123457
2005,OAK,29.261349104859335,AL,OAK,162,772,88,74,4.765432098765432,0.5432098765432098
